Control,MacBook,Lenovo,White Noise,Storm
N/A,Sample Data,Sam??t?,N/A,N/A
N/A,Sample Data,S???ta,N/A,N/A
N/A,Sample Data,Sample,N/A,pDa???
N/A,Sample Dat#,S?l??,N/A,Se at
N/A,Sample Datad,Sam??,N/A,Spk?D?
N/A,Sample Data,Sample Data,N/A,N/A
N/A,Sample DatC,Sample Data,pltf,N/A
N/A,Sample Dat?,Samp?Data,N/A,N/A
N/A,Sample Data,Sa?e ?t?,ata,Sm Da
N/A,Sample Data,Sampl?ata,peDa`sveve,ta?
N/A,Sample Data,lt,N/A,N/A
ple,Sample Data,Sample Data,Sampa|adv,N/A
S\lea,Sample Data,S?lea,N/A,N/A
ple,Sample Data,Same Data,Saeledasadd,N/A
?l a?,Sample Data,Sample t,Seltadfg,S?a\)ta
