Control,MacBook,Lenovo,White Noise,Storm
N/A,Sample Data,Sample Data,N/A,N/A
N/A,Sample DatB,Sample Datq,N/A,N/A
N/A,Sample Dat?,Sample Datr,N/A,N/A
N/A,Sample Data,Sample Data,N/A,X?r???S;?
N/A,Sample Data,Sample DatD,N/A,?? [ ?
N/A,Sample DatS,Sample Data,N/A,N/A
N/A,Sample Data,Sample Data,N/A,N/A
N/A,Sample DatY,Sample Data,N/A,N/A
N/A,Sample Dat?,Sample Data,N/A,N/A
N/A,"Sample Dat[a,s,?,B,?,V,G,a,x,…]",Sample Data,N/A,m\ata
pl Data,Sample Datau,Sample Data,N/A,N/A
S a,Sample Dataw,Sample Datc,N/A,Sp\d\at
?la,Sample Data?,Sample Datq,N/A,eataiy
iAl\t,Sample Dat?,Sample Dat`a,N/A,N/A
M,Sample Dat`?,Sample Data,N/A,N/A
